name,Date,Subject,Description
zahi.o,05/07/2017 08:04,לא בתמיכה שלנו,העברה למוקד התמיכה
zahi.o,05/07/2017 08:12,Active Directory,Disabled user
shlomi.v,05/07/2017 08:20,מדפסת כרטיסים,
shlomi.v,05/07/2017 08:22,מדפסת כרטיסים- מחיקת הדפסות תקועות,
zahi.o,05/07/2017 08:24,לא בתמיכה שלנו,העברה למוקד התמיכה
shlomi.v,05/07/2017 08:26,Active Directory,Disabled user
shlomi.v,05/07/2017 08:39,"ניהול דוא""ל",ארכיון
offir.k,05/07/2017 08:42,תפעול מחשב,כונן רשת
zahi.o,05/07/2017 08:44,סורק חילן,
zahi.o,05/07/2017 08:47,מדפסת כרטיסים,ניקוי
offir.k,05/07/2017 09:06,Active Directory,Disabled user
offir.k,05/07/2017 09:46,אחר,VDI
shlomi.v,05/07/2017 09:47,תפעול מחשב,גלישה
"offir.k","05/07/2017 10:34:21","מדפסת כרטיסים","בדיקת הגדרות"
"shlomi.v","05/07/2017 10:39:26","Active Directory","Security groups"
"shlomi.v","05/07/2017 11:07:05","תפעול מחשב","Q FLOW"
"offir.k","05/07/2017 11:18:51","ניהול דוא""ל","יצירת תיבת דוא""ל"
"offir.k","05/07/2017 11:32:21","Active Directory","Disabled user"
"offir.k","05/07/2017 11:47:37","כספות","תהליך לא עובד"
"shlomi.v","05/07/2017 12:23:53","ניהול דוא""ל","הגדלת תיבה"
"shlomi.v","05/07/2017 12:47:19","Active Directory","Disabled user"
"shlomi.v","05/07/2017 13:33:28","ניהול דוא""ל","עדכון חתימה"
"zahi.o","05/07/2017 13:39:59","לא בתמיכה שלנו","העברה למוקד התמיכה"
"shlomi.v","05/07/2017 14:00:16","ניהול דוא""ל","אאוטלוק"
"zahi.o","05/07/2017 14:21:56","Microsof Office","התקנת office"
"shlomi.v","05/07/2017 14:23:08","ניהול דוא""ל","חתימה"
"zahi.o","05/07/2017 14:33:09","Active Directory","Disabled user"
"zahi.o","05/07/2017 14:33:18","אחר","התקנות על המחשבים הניידים"
"offir.k","05/07/2017 14:46:20","ניהול דוא""ל","הגדלת תיבה"
"shlomi.v","05/07/2017 17:34:42","חיבור מרחוק","השתלטות עובדים"
"shlomi.v","05/07/2017 17:35:19","חיבור מרחוק","השתלטות עובדים"
"offir.k","05/07/2017 17:48:41","תפעול מחשב","בעיה ב-Logon - wmi curruption"
"offir.k","05/07/2017 18:52:06","Active Directory","Disabled user"
